,Title,Year,Plot,Rating,Budget,Cast,MPA Rating,Directors,Distributors,Producers,Genre,Runtime in Minutes
0,1. Promising Young Woman,2020,"Nothing in Cassie's life is what it appears to be - she's wickedly smart, tantalizingly cunning, and she's living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past. Cassie, an emotionally scarred medical school dropout pushing thirty, knows firsthand that some wounds never heal. But time and life wait for no one; defined by a hideous crime involving a bosom friend, the once-brilliant student is still treading water. However, Cassie thinks she has found the perfect way to cope with the painful past. So, at night, she visits the local bars as a vulnerable punisher on the prowl for all sorts of nocturnal predators and wolves in sheep's clothing. After all, the hunted sometimes becomes the hunter. And then, kindly old classmate Ryan enters the picture; he's the bee's knees, and he knows it. Now Cassie wants out. But everyone knows that breaking bad habits is easier said than done. Could Ryan be the one? Has luck finally smiled upon the promising wild thing?—Nick Riganas Nothing in Cassie's life is what it appears to be -- she's wickedly smart, tantalizingly cunning, and she's living a secret double life by night. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past. Thirty year old Cassie Thomas' life outwardly is a mess. After she dropped out of medical school, she moved back in with her parents. As she seems to make no attempt to do anything beyond working a dead end job as a coffee house clerk, her parents make no bones about wanting Cassie to move on, mostly to move out of their house. She has no friends except her boss Gail, who, somewhat like Cassie's parents, makes sly attempts to get Cassie into a better position at least with work. But this dead end life masks Cassie's current true mission, which all stems from the reason why she dropped out of medical school. Her meticulously planned actions have one of two intended goals: to make sure that what happened in medical school does not happen to anyone else in a similar position; or to exact revenge on the people she feels were either the cause or contributed to that medical school incident which led to a tragic end. Cassie's plan potentially takes a turn when she runs into an old medical school classmate, Ryan Cooper, who is the antithesis of all those for who she acts out her parables.—Huggo",7.5,N/A,"Adam Brody,Ray Nicholson,Sam Richardson,Carey Mulligan,Timothy E. Goodwin,Clancy Brown,Jennifer Coolidge,Laverne Cox,Alli Hart,Loren Paul,Scott Aschenbrenner,Bo Burnham,Christopher Mintz-Plasse,Alison Brie,Gabriel Oliva,Bryan Lillis,Francisca Estevez,Lorna Scott,Connie Britton,Casey Adams,Vince Lozano,Molly Shannon,Max Greenfield,Christopher Lowell,Mike Horton,Steve Monroe,Angela Zhou,Austin Talynn Carpenter,Abi Beaux,James Doheny,Emerald Fennell,Brendan Healy,Rasneet Kaur,Jenelle McKee,Paxton Miller,Alfred Molina,Jose Stephan Perez,David Philip Reed,Scarlet Spencer,Alyson Stover,Carly Tamborski,Charlotte Xia",R,Emerald Fennell,"Focus Features,Parco Co. Ltd.,Roadshow Films,Spentzos Films,The Searchers,The Searchers,United International Pictures (UIP),United International Pictures (UIP),United International Pictures,Universal Pictures Argentina,Universal Pictures Canada,Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),Universal Pictures International (UPI),9Go!,Cinemundo,Film & TV House,GEM Entertainment,Roadshow Entertainment,Roadshow Entertainment,Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment (UPHE),Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment","FilmNation Entertainment,Focus Features,LuckyChap","Crime,Drama,Mystery,Thriller",113
1,2. Sonic the Hedgehog,2020,"Taking refuge on Earth, when Sonic uses his incredible speed and accidentally knock out the power in part of the United States, he catches the attention of Dr. Robotnik and must stop him from using his unique power for world domination. Based on the global blockbuster videogame franchise from Sega, SONIC THE HEDGEHOG tells the story of the world's speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend Tom (James Marsden) team up to defend the planet from the evil genius Dr. Robotnik (Jim Carrey) and his plans for world domination. The family-friendly film also stars Tika Sumpter and Ben Schwartz as the voice of Sonic.—Paramount Pictures Sonic the Hedgehog lives on the planet Mobius and has incredible powers: he can run at supersonic speeds, turn into a ball with the strength of a missile, and generate powerful bolts of electricity. Fearing his powers put him at risk, Sonic's guardian, a wise owl named Longclaw, helps him escape to the planet Earth, advising him to stay hidden. Sonic later arrives in the small town of Green Hills, Montana. One night, he accidentally releases a power surge that causes a massive blackout. Baffled by this, the U.S. government hires the nefariously insane but ingenious scientist Dr. Ivo Robotnik to find out what caused the blackout. They soon discover Sonic and his incredible superpowers. Robotnik wants to capture Sonic in hopes of using his powers to improve his army of evil drones and robots. Sonic turns to local police officer Tom Wachowski for help hiding from Robotnik and the U.S. military. Now, Sonic and Tom are on an action-packed road trip to find the rings that would allow Sonic to leave Earth and ruin Dr. Robotnik's evil plan. Based on SEGA's iconic gaming franchise, Sonic The Hedgehog takes the fastest thing alive from Planet Mobius and takes him to the suburbs of Green Hills, where the eccentric Dr. Robotnik will pursue this 'alien menace' at the behest of The American Government.—Johnny-the-Film-Sentinel-2187 A male blue hedgehog arrives on Earth to live there. After he discovers that an evil maniac male villain is after him, he teams up with a middle-aged male human to find a way to defeat the villain. Along the way, they get to know each other many things that can help them in life.—RECB3",6.5,"$90,000,000 (estimated)","Ben Schwartz,James Marsden,Jim Carrey,Tika Sumpter,Natasha Rothwell,Adam Pally,Lee Majdoub,Neal McDonough,Tom Butler,Frank C. Turner,Melody Nosipho Niemann,Shannon Chan-Kent,Brad Kelly,Elfina Luk,Garry Chalk,Michael Hogan,Peter Bryant,Jeremy Arnold,Jeanie Cloutier,Emma Oliver,Bailey Skodje,Dean Petriw,Jeff Sanca,Lisa Chandler,Chris Gailus,Bethel Lee,Anthony Santiago,Jeremiah Oh,Charles Heffernan,Terence Kelly,Sean Campbell,Scott Patey,Sandy Robson,Andrea Marcum,Benjamin Valic,Donna Jay Fulks,Colleen O'Shaughnessey,Jason Demidoff,Billy Dobson,Nicholas Dohy,Dennis Falt,Mark Holton,Debs Howard,Yorkie Joaquin,Leanne Lapp,Richard David Lecoin,Nadeen Lightbody,Susan Trishel Monson,Stuart Murray,Steve Warky Nunez,John Specogna,Linley Subryan,Kirsten Taylor-Tambling,Breanna Watkins,Eleanor Whibley",TV-G,Jeff Fowler,"Paramount Pictures,Paramount+,Andes Films,B&H Film Distribution,Blitz,CJ CGV Viet Nam,Central Partnership,Constantin Film,Finnkino,Forum Film Bulgaria,Huaxia Film Distribution,Intercontinental Film Distributors (HK),Karantanija Cinemas,Lotte Entertainment,Meloman,NOS Audiovisuais,Odeon,Odeon,Paramount Films of India,Paramount Pictures Germany,Paramount Pictures International,Paramount Pictures International,Paramount Pictures Spain,Paramount Pictures UK,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount,Toho-Towa,Towa Pictures,Twentieth Century Fox,United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures (UIP),United International Pictures,United International Pictures,Universal Pictures International (UPI),Warner Bros. Pictures,9Go!,Google Play,Home Box Office (HBO),Hulu,Network 10,Nickelodeon Network,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,Paramount Home Entertainment,PlusPlus,Syfy,TET,TV Tokyo,Universal Pictures Home Entertainment,Universal Pictures Home Entertainment,VUDU","Paramount Pictures,Sega Sammy Group,Original Film,Marza Animation Planet,Blur Studio,Canadian Film or Video Production Tax Credit (CPTC),Sega,Canadian Film or Video Production Tax Credit (CPTC),DJ2 Entertainment,Paramount Animation","Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",99
2,3. Palm Springs,2020,"Nyles and Sarah find themselves stuck in a time loop and living the same day over and over again. They are drawn to each other, but certain revelations threaten their budding romance. While stuck at a wedding in Palm Springs, Nyles (Andy Samberg) meets Sarah (Cristin Milioti), the maid of honor and family black sheep. After he rescues her from a disastrous toast, Sarah becomes drawn to Nyles and his offbeat nihilism. But when their impromptu tryst is thwarted by a surreal interruption, Sarah must join Nyles in embracing the idea that nothing really matters, and they begin wreaking spirited havoc on the wedding celebration. Trapped in a perpetual time loop, Nyles has been living the same day over and over again for a very long time. Against the backdrop of sunny Palm Springs, Nyles must wake up with a woman he doesn't much like, relive the wedding day of Tala and Abe, and prevent gloomy Sarah, the bride's sister, from making a booze-addled mistake. However, how do you spend eternity reliving a day you would rather forget?—Nick Riganas",7.4,,"Andy Samberg,Cristin Milioti,J.K. Simmons,Peter Gallagher,Meredith Hagner,Camila Mendes,Tyler Hoechlin,Chris Pang,Jacqueline Obradors,June Squibb,Tongayi Chirisa,Dale Dickey,Conner O'Malley,Jena Friedman,Brian Duffy,Martin Kildare,Lilli Birdsell,Ryan Sturz,Clifford V. Johnson,Calki Garcia,Michelle Johnston,Isla Sellers,Matt Smith,Becky Sloviter,Jake Smith,Noah Smith,Rocky Bonifield,Dominic Chaiduang,Erin Flannery,David Hutchison,Mark Kubr,David Philip Reed,Sarah Schueler,Aleshya Uthappa",R,Max Barbakow,"Cinema Mondo,Con Un Pack Distribución,Husky Films,Impact Films,Neon,Presidio,Amazon Prime Video,Amazon Prime Video,Amazon Prime Video,Amazon Prime Video,Amazon Prime Video,Amazon Prime Video,Cinema Mondo,Gravel Road Distribution Group,Hulu,I Wonder Pictures,Impact Films,Leonine Distribution,Leonine Distribution,Twelve Oaks Pictures,Yleisradio (YLE)","Limelight,Sun Entertainment Culture,The Lonely Island","Comedy,Fantasy,Mystery,Romance",90
3,4. The Father,2020,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality. Having scared off his latest caregiver, Anthony, an ailing octogenarian Londoner gradually succumbing to dementia, feels abandoned when his concerned daughter, Anne, tells him she's moving to Paris. Confused and upset, debilitated by his rapid mental decline and warped perspective, Anthony loses his grip on reality as he struggles to navigate the opaque landscape of the present and past. As a result, fading memories and glimpses of lucidity trigger sudden mood swings, distorting Anthony's surroundings, loved ones, and even time. But why has his younger daughter stopped visiting? And who are the strangers that burst in on Anthony?—Nick Riganas A series of vignettes, often building upon themselves, is presented from the perspective of Anthony, an elderly Londoner, in his home. The next in the series often contradicts the previous, leading to the question of what is real and what is in Anthony's mind, possibly of things from his past that are no longer, in the one thing that is certain: that Anthony suffers from Alzheimer's. Those vignettes that are not from his perspective show what is real in his life: that he has an adult daughter Anne and that Anthony has only recently moved in with her and her husband Paul in Anthony driving away the caregivers that Anne had hired for him when he lived on his own. While Anne loves her father, their relationship is often strained in his waning lucidity and the negative effect his constant presence is having on her marriage. Her ability to carry out a life independent of him is compromised if she cannot find further support in care for him. She doesn't want to take the final step of having him placed in a home, but she may have no other alternative if his situation worsens or if her own personal situation, irrespective of him, changes.—Huggo",8.2,"$6,000,000 (estimated)","Olivia Colman,Anthony Hopkins,Mark Gatiss,Olivia Williams,Imogen Poots,Rufus Sewell,Ayesha Dharker,Roman Zeller,Adnan Kundi,Brian Rodger,Evie Wray",PG-13,Florian Zeller,"Lionsgate,Elevation Pictures,Entract Films,Sony Pictures Classics,A Contracorriente Films,Front Row Filmed Entertainment,BestFilm.eu,BestFilm.eu,BestFilm.eu,Angel Films,Ascot Elite Entertainment Group,Atlantic Film,BF Distribution,BIM Distribuzione,BfParis,Bir Film,Cai Chang International,California Filmes,China Film Group Corporation (CFGC),Cine Colombia,Cineplex,Cineplex,Cinéart,Cinéart,Constantin Film,Edko Films,Elite Film,Entract Films,Filmfinity,Front Row Filmed Entertainment,Front Row Filmed Entertainment,Front Row Filmed Entertainment,Front Row Filmed Entertainment,Itafilm,Life Films Paraguay,Limelight Distribution,NonStop Entertainment,Operadora,Operadora,Operadora,Operadora,Operadora,Orange Studio,Pancinema,Russian Report,Sahamongkol Film International,Sena,Sharmill Films,Shaw Organisation,Showgate,Spentzos Films,Storytelling Media,Svoe Kino,TOBIS Film,UGC Distribution,United International Pictures (UIP),Zima,Atlantic Film,Leonine Distribution,Madman Entertainment,NOS Audiovisuais,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,TOBIS Home Entertainment,Versátil Home Vídeo,Yleisradio (YLE)","Les Films du Cru,Film4,Orange Studio,Canal+,Ciné+,Embankment Films,F Comme Film,Trademark Films,Ciné@,AG Studios NYC,Simon Friend Entertainment,Viewfinder","Drama,Mystery",97
4,5. The Night House,2020,"A widow begins to uncover her recently deceased husband's disturbing secrets. Having buried her husband recently, emotionally scarred, grief-stricken high-school teacher Beth returns to the spacious, eerily vacant lake house he built for her in the heart of a gloomy forest. But as pained Beth tries to pick up the pieces, before long, mysterious shadows and blood-curdling reflections on the windows start to taunt her, and suddenly, she finds herself opening boxes, rummaging through the deceased's belongings. And little by little, Beth's intense late-night nightmares become increasingly vivid, taking a toll on her already fragile sanity. Now, pressing questions demand clear answers. Will Beth ever unearth the secret of the night house?—Nick Riganas The schoolteacher Beth is grieving the loss of her husband, the architect Owen, who committed suicide a few days ago in the boat of the family. Beth lives in the house nearby a lake designed and built by Owen and misses him. During the night, her hears thumping on the wall and believes Owen wants to communicate with her. Her best friend, the also teacher Claire, invites Beth to drink with their friends Gary and Heather that also work at school. Beth drinks too much and when Claire brings her home, she says that she once died in a car accident for four minutes when she was seventeen. Beth continues to overhear noise and strange things happening at home and decides to nose around Owen's stuffs despite the advice from Claire. Soon she learns dark secrets about her beloved husband that was trying to protect her from a dangerous entity.—Claudio Carvalho, Rio de Janeiro, Brazil",6.4,N/A,"Rebecca Hall,Sarah Goldberg,Vondie Curtis-Hall,Evan Jonigkeit,Stacy Martin,David Abeles,Christina Jackson,Patrick A. Sova,Crystal Swann,Catherine Weidner,Laura Austin,Jacob Garrett White,Samantha Buck,Lydia Hand,Lea Enslin,Amy Zubieta,Allie McCulloch,Amber Anne,Toni Ann Barretta,Juniper Cherniak,Michael Flores,Michael Harrington,Jack E. Jones,James W. Meagher,Derek M. Puma,Daniel Rayome,Andy Rich,Dannielle Rose",R,David Bruckner,"Searchlight Pictures,Walt Disney Studios Motion Pictures,Karo Premiere,Ukrainian Film Distribution (UFD),Forum Hungary,HKC Entertainment,Searchlight Pictures,Walt Disney Studios Motion Pictures Argentina,Walt Disney Studios Motion Pictures International,Walt Disney Studios Motion Pictures International,Walt Disney Studios Motion Pictures International,Walt Disney Studios Motion Pictures International,Disney+,Walt Disney Studios Home Entertainment,Walt Disney Studios Home Entertainment,7flix","Searchlight Pictures,TSG Entertainment,Anton,Phantom Four Films","Horror,Mystery,Thriller",107
5,6. Birds of Prey,2020,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord. A twisted tale told by Harley Quinn herself: When Gotham's most nefariously narcissistic villain Roman Sionis, and his zealous right-hand, Zsasz, put a target on a young girl named Cass, the city is turned upside-down looking for her. Harley, Huntress, Black Canary, and Renee Montoya's paths collide, and the unlikely foursome has no choice but to team up to take down Roman. After her painful breakup with Joker, shortly after the battle with the Enchantress in Suicide Squad (2016), the already unhinged and extremely volatile Harley Quinn finds herself all alone. But with her mentor out of the picture and a huge target on her back, Harley locks horns with Gotham City's ruthless crime lord Roman Sionis, who's trying to track down a precious diamond and the audacious pickpocket, Cassandra Cain. Now, on the hunt for the teen street hustler and the gemstone, Quinn crosses paths with singer Dinah Lance, Detective Renee Montoya, and a mysterious crossbow-wielding murderess who are all also after Cassandra, as Roman's top assassin, Victor Zsasz, is bent on getting her first. Can Harley take down the brutal super-villain known only as the Black Mask?—Nick Riganas In Gotham City, the Joker breaks up with Harley Quinn and without his protection, several criminals that have a beef with her hunt her down. When teenager Cassandra Cain pickpockets a diamond that has the account numbers of a fortune from the gangster Victor Zsasz, who is the right-hand of the powerful criminal Roman Sionis, he put a contract on her. Harley Quinn, Police Detective Renee Montoya, Helena ""The Huntress"" Bertinelli. and Dinah ""Black Canary"" Lance team up to protect Cassandra.—Claudio Carvalho, Rio de Janeiro, Brazil",6.1,"$81,000,000 (estimated)","Margot Robbie,Rosie Perez,Mary Elizabeth Winstead,Jurnee Smollett,Ewan McGregor,Ella Jay Basco,Chris Messina,Ali Wong,David Ury,Sara Montez,Izabel Pakzad,Daniel Bernhardt,Kc Strubbe,Jacky Shu,Paloma Esparza Rabinov,Derek Wilson,Joe Bucaro III,James Henry Williams Jr.,François Chau,Miyuki Matsunaga,Anna Mikami,Bruno Oliver,Keisha Tucker,Matthew Willig,Jeremy Denzlinger,Michael Masini,Charles Carpenter,Daniel Cole,Jesse Bush,Steven Williams,Charlene Amoia,Paul Lasa,Ella Mika,Robert Catrini,Eddie Alfano,Chris Carnel,Buddy Sosthand,Tim Sitarz,Shawn Balentine,Shahaub Roudbari,Pramode Kumar,Christine Engh,K.K. Barrett,David Bianchi,Simon Rhee,Terrence Julien,George Crayton,Caleb Spillyards,Qiang Li,Panuvat Anthony Nanakornpanom,Sala Baker,Christian Womack,Bryan Sloyer,Kofi Yiadom,Efka Kvaraciejus,Sam Hargrave,Dennis Keiffer,Dana Lee,Bojana Novakovic,Andy Hoff,Eric Michael Cole,Oakley Lehman,Richard King,Tim Rigby,César Alejandro,David Anthony Buglione,John Carlo Castro,Jason Catron,Ray Ray Chase,Dan Cole,Stephen Corliss,Joey Courteau,Lucas Di Medio,Phil DiGennaro,Sadyr Diouf,Jack Dourakos,Gerald Downey,Michael Edelstein,Mike Ferguson,Eddie J. Fernandez,Julian Garcia,Shad Gaspard,Luis Richard Gomez,Nico Greetham,William Guirola,John Hennigan,Damon Hoffman,Brandon Irvin,Jesse James,Judy Kain,Leo Lam,Arlondriah Lenyéa,Jeff Lipary,Nick Marcello Jr.,Lenora May,Lawrence Mclendon,Ego Mikitas,Cavin Mohrhardt,Anthony Molinari,Nikki Nevarez,Brandon Garic Notch,Adinett Nsabimana,Matthew Parry-Jones,Nick Phillips,Diezel Ramos,Talon Reid,Zeus Sagittarius,Greice Santo,Nev Smith,Dustin Stern-Garcia,Karen Teliha,Ryan Watson,Rj Wayne,Zack Whyel",TV-MA,Cathy Yan,"Warner Bros.,Warner Bros. Pictures,Alexandra Films,Blitz Film & Video Distribution,Blitz,Karo Premiere,Kinomania,NOS Audiovisuais,SF Film Finland,SF Norge A/S,Tanweer Alliances,Tanweer Alliances,Times Media Films,Vertical Entertainment,Warner Bros. F.E.,Warner Bros. Pictures Germany,Warner Bros. Pictures Mexico,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Pictures,Warner Bros. Singapore,Warner Bros. Turkey,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Westec Media Limited,9Go!,HBO Max,Nine Network Australia,TV5,Tanweer Alliances,Veronica,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment,Warner Bros. Home Entertainment","Clubhouse Pictures,DC Entertainment,Kroll & Co. Entertainment,LuckyChap","Action,Comedy,Crime",109
6,7. Bad Boys for Life,2020,"Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city. Marcus and Mike have to confront new issues (career changes and midlife crises), as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",6.5,"$90,000,000 (estimated)","Will Smith,Martin Lawrence,Vanessa Hudgens,Alexander Ludwig,Charles Melton,Paola Núñez,Kate del Castillo,Nicky Jam,Joe Pantoliano,Jacob Scipio,Theresa Randle,DJ Khaled,Happy Anderson,Bianca Bethune,Dennis Greene,Michael Bay,Gissette Valentin,Rose Bianco,Edelia Merida,Jasmin Lawrence,Shacai O'Neal,Carlos Guerrero,Massi Furlan,Chick Bernhard,Jennifer Badger,Jeff J.J. Authors,Keith Wheeler,Brandi Cohen,Jay Amor,Yessenia Hernandez,Anthony Molinari,Ivo Nandi,David Shae,Eduardo Rosario,Rory Markham,Brad Sanders,Damien Butler,Bilall Fallah,Norma Alvarez,Adil El Arbi,Christina Mercurio,Nahima Bicelis,Erroll Castrillo,Kial Butler,Sharon Pfeiffer,Porshia C. Joseph,Ellison Kendrick,Demia Alejandro,Sam Anselmo,Adrian De Armas,Erica Askew,McDaniel Austin,Misty Autery,James William Ballard,Sidnei Barboza,Lyra Barillas,Stacey Barrera,Keiko Bell,Roderick Bell,Lluvia Bermudez,Alex Bernadotte,Rosie Bernhard,Daniel Sergio Bertot,Krystel Blot,Eric Bodden,Austin Bollinger,Troy Brenna,Sergio Briones,Landon Brooks,Ruben E. A. Brown,Lauren Buglioli,Tom Bui,Matthew Byrge,Kerwood Canel,Santos Caraballo,Ryan Castle,Cowboy,Joe Crosson,Ellen Marguerite Cullivan,Karel Curras,Taina Dominguez,Keith D Dooley,Asjah Ferguson,José Alfredo Fernandez,Bastiano Ferrari,Darin Ferraro,Frenchi Firecracker,James Gailey,Fred Galle,John Gettier,Joseph Giambrone,Jenin Gonzalez,Wil Gonzalez,John C. Gregory,Alex Guevara,Yasmine Habib,William Haithco III,Athena Hatcher,Steve Heinz,Monica Henry,Maxwell L. Highsmith,Elvia Hill,Ariel Hines,Savanna James,Cal Johnson,J. Tysun Jordan,Julia Kay,Melissa Kennemore,Jamil Khan,Tony Kim,Josue Louis-Charles,Roy Luke,Arami Malaisé,Hans Marrero,David L. Marston,Eneida Mascetti,Andy Nazario,Sarkis Ninos,Bradford Norris,Kiley Opsal,Brandon Parker,Kevin Petruski Jr.,Ryan L. Price,Nick Puya,Micah Ramos,Scott Rapp,Ashae Reagan,Felicia M. Reyes,Reno Reyes,Manuel Rivera,Marlene Rivera,Melissa Rodriguez,Ariel Rosario,Luis Saldias,Dominique Saunders,London Seabreeze,Patrice Sepulveda,Jonathan Sienkiewicz,Max Soliz,Lindsey Thaxton,Brandon Michael Thomas,Robert Tinsley,Emily Towles,Asa Rodger Turner,Iliana Tzikas,Carlos Valentino,Joseph Velez,Jennifer Vo,W.A.R.,Buddy Watkins,Maria Z. Wilson,Thaddeus Wilson,Jamil C. Winston",R,"Adil El Arbi,Bilall Fallah","Columbia Pictures,Sony Pictures Releasing,Sony Pictures Releasing,Big Picture 2 Films,Feelgood Entertainment,SF Film Finland,SF Studio,SF Studios,Sony Pictures España,Sony Pictures Filmverleih,Sony Pictures Releasing International,Sony Pictures Releasing Italia,Sony Pictures Releasing Mexico,Sony Pictures Releasing,Sony Pictures Releasing,Universal Pictures International (UPI),Walt Disney Studios Sony Pictures Releasing (WDSSPR),Columbia Pictures of Philippines,Sony Pictures Releasing Argentina,Sony Pictures Releasing Australia,Sony Pictures Releasing,Sony Pictures Releasing,Sony Pictures Releasing,United International Pictures,Westec Media Limited,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,Sony Pictures Home Entertainment,VUDU,Seven Network,7Mate,Hero,Nelonen,Starz","Columbia Pictures,2.0 Entertainment,Don Simpson/Jerry Bruckheimer Films,Overbrook Entertainment","Action,Comedy,Crime,Thriller",124
7,8. The Courier,2020,"Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis. In the shadow of the Cold War a letter from Oleg Penkovsky (Merab Ninidze), an agent of the Soviet Union, is received by MI6 stating the concern of Penkovsky about world safety and his anxiety about a nuclear war. So Emily Donovan (Rachel Brosnahan), a CIA agent, reached out to MI6 agent Dickie Franks (Angus Wright), who recruited British salesman Greville Wynne (Benedict Cumberbatch) to be their spy.—Saif Alaa The true story of a British businessman unwittingly recruited into one of the greatest international conflicts in history. Forming an unlikely partnership with a Soviet officer hoping to prevent a nuclear confrontation, the two men work together to provide the crucial intelligence used to defuse the Cuban Missile Crisis.—krmanirethnam With the nuclear arsenal of the Soviet Union growing stronger by the day, and Soviet First Secretary Nikita Khrushchev and the United States President John F. Kennedy locking horns against the backdrop of the Cold War and the reckless nuclear arms race, highly decorated Colonel Oleg Penkovsky reaches out to MI6 and the CIA. Under those grave circumstances, MI6 agent, Dickie Franks, and CIA official, Emily Donovan, approach a civilian, the unsuspecting, globe-trotting British businessman, Greville Wynne, to act as a liaison between the parties, and courier Penkovsky's leaks: vital information necessary to avert nuclear Armageddon. In exchange, the United States government would help him and his family defect. However, does Wynne know what he's let himself in for? Above all, can the two men put a halt to the imminent Cuban Missile Crisis?—Nick Riganas",7.2,,"Vladimir Chuprikov,Merab Ninidze,James Schofield,Fred Haig,Emma Penzina,Mariya Mironova,Rachel Brosnahan,Anton Lesser,Angus Wright,Benedict Cumberbatch,David Bark-Jones,Miles Richardson,Keir Hills,Jessie Buckley,Kirill Pirogov,Petr Klimes,Benny Maslov,Harry Carr,Rustam Khadzhiev,Yuri Klimov,Marian Lorencik,Dmitri Vorontsov,Jack Walters,Zeljko Ivanek,Marián Chalany,Alice Orr-Ewing,Oliver Johnstone,Andruscha Hilscher,Alexey Ponomarev,Rostislav Shabalin,Eysteinn Sigurðarson,Jonathan Harden,Elina Alminas,Olga Koch,Richard Glaves,Laurel Lefkow,Jed Aukin,Ales Bílík,Andrey Kurganov,Ondrej Malý,Alexander Kotjakov,Zdenek Pecha,Jonathan Addis,Shenoah Allen,Alex Batareanu,Bern Collaço,Stuart Cooke,Nick Davison,David Evestaff,Dennis Good,Diane Halling,Kate Handford,Ian Hare,Tomas Karel,John F. Kennedy,Vladan Kolar,Sergei Lebedev,Deano Bugatti Mitchison,Richard Price,Pippa Rathborne,Paul Riddell,Karina Salieva,Kemal Shah,Iva Sindelková,Charles Walters",PG-13,Dominic Cooke,"Film & TV House,GEM Entertainment,Belga Films,Elevation Pictures,Entract Films,Finnkino,Independent Films,Kino Films,Lionsgate,Lionsgate,Roadside Attractions,Shaw Organisation,Spentzos Films,Telepool,9Gem,Ascot Elite Entertainment Group,EuroVideo,EuroVideo,Joy n Cinema,NOS Audiovisuais,Pluto TV,Scanbox Entertainment,Yleisradio (YLE)","42,FilmNation Entertainment,Nova Media,SunnyMarch","Drama,History,Mystery,Thriller",112
